"usa_ch4","usa_n2o","china_ch4","china_n2o","germany_ch4","germany_n2o","japan_ch4","japan_n2o","india_ch4","india_n2o","uk_ch4","uk_n2o","france_ch4","france_n2o","brazil_ch4","brazil_n2o","italy_ch4","italy_n2o","canada_ch4","canada_n2o"
8771.6993,320.964,8813.4245,221.4613,1960.6468,73.6383,900.802,26.8805,13250.724,199.3071,1370.0251,52.1108,1998.0132,70.5218,3813.6222,121.8403,1107.5659,38.3566,1037.4143,30.5167
8946.6938,333.8029,8826.5365,226.9923,1993.3031,78.5911,908.3997,27.9478,13251.6809,199.7771,1308.4319,52.3926,2061.7863,74.4577,3932.8829,125.2463,1091.4437,38.7422,1046.9093,33.9966
9093.2367,351.5875,9134.8917,242.6148,1982.7728,78.2603,909.1535,28.283,13231.2195,200.6486,1295.7625,52.9494,2022.8452,75.607,4085.2569,129.811,1056.9018,37.7456,1055.184,36.1398
9177.3663,361.4625,9797.608,265.8519,1970.6591,80.164,905.553,27.8735,13371.6457,205.8262,1291.9568,53.6456,1998.0307,76.5384,4242.3628,133.7838,1021.177,37.6037,1084.1474,36.2802
9084.8934,378.2759,10077.2291,288.7845,1984.4103,83.5647,893.2783,27.9511,13264.9678,203.7404,1320.6007,56.6364,2021.2306,77.8112,4410.4312,139.3563,1071.7277,40.1886,1106.9899,38.7774
8929.1029,391.3058,10482.8394,320.1506,2029.6932,85.3836,882.2585,28.615,13474.8538,212.3779,1331.7031,58.2488,2046.6176,79.8653,4508.0844,142.9009,1089.1534,40.7448,1062.8913,40.9589
8934.7227,411.7979,10694.6732,315.8404,2059.4721,87.6341,889.5687,29.973,13578.5884,220.7971,1332.6234,61.5231,2101.618,85.4086,4654.0167,148.0634,1108.396,41.316,1061.4241,39.8653
8953.0426,418.4397,10728.9639,323.8862,2072.9084,90.3139,904.1352,30.4557,13741.251,228.3016,1317.4927,59.6184,2138.6117,88.9909,4805.8836,153.3704,1124.4726,42.3171,1055.711,39.0081
8908.5042,427.162,10868.023,335.2936,2082.6045,92.8438,921.4333,30.2626,13890.164,233.7566,1326.7259,56.2436,2114.6743,88.3258,4966.6272,158.6483,1186.3884,44.4824,1030.4427,39.2491
8906.4838,440.114,11168.8555,353.3751,2079.3183,94.2633,859.8308,29.2747,13885.7779,237.2912,1337.6872,58.9805,2126.0771,92.7011,5137.2613,166.1687,1165.4296,45.1799,1044.7271,38.0922
9143.3818,457.7692,11802.0607,366.0296,2071.7385,96.4881,816.2666,28.7992,14015.8657,246.039,1354.7365,62.4451,2139.2741,95.5947,5310.2311,171.8227,1081.6385,43.9827,1045.4302,42.4865
9225.4332,463.9159,12021.7051,385.3122,2044.8985,98.7368,801.4123,29.9044,14020.5007,248.0068,1411.0499,61.1552,2145.3606,97.7435,5555.4735,182.4929,1066.825,44.8341,1055.4659,43.6436
9395.8432,486.71,12055.1068,402.6648,2071.7628,97.961,797.066,31.8515,14186.1376,250.5381,1491.4022,65.1777,2206.3933,105.0852,5718.889,186.8692,1083.4463,44.9158,1070.1528,46.9886
9778.854,489.9009,12222.2901,396.27,2116.7949,102.0071,822.6689,29.4245,14254.6509,248.8422,1532.3124,67.5796,2286.6323,101.1769,6024.1117,198.2945,1047.8583,44.4599,1094.3791,47.2068
9951.6562,524.2451,12292.9302,424.6936,2124.8463,102.3028,829.2904,28.5924,14497.7389,275.3215,1490.7528,68.2161,2310.1715,103.8723,6224.1408,204.6554,1021.9199,45.1694,1122.6697,50.2281
9601.5935,531.2873,12418.6574,423.8228,2121.9053,105.2915,836.4347,29.3956,14533.2324,271.0688,1439.2494,68.3132,2310.8348,105.6535,6842.5083,222.6285,1042.488,45.0471,1105.651,52.4445
9343.8415,519.6157,12177.671,466.2665,2125.9963,106.4742,843.1934,30.4813,14827.4365,286.1068,1355.686,66.9415,2293.8176,107.0261,7134.5685,235.1703,1067.1771,47.5814,1067.2626,53.9233
9100.718,516.0286,11949.3619,517.7734,2160.0933,109.0183,810.1163,30.973,15016.4999,301.6815,1354.4621,68.021,2291.5733,111.3838,7085.2173,232.7961,1063.4135,53.0065,1022.1668,54.0871
8834.3188,528.8499,11924.6934,554.6861,2184.9524,111.1714,810.93,32.4763,15138.3701,305.9177,1359.2434,70.3676,2304.6954,114.752,7230.8402,241.0021,1072.4343,54.7023,1003.7079,52.0763
9020.6582,536.01,12077.0894,592.5019,2191.2619,113.0669,791.5364,28.8975,15397.5012,315.842,1345.6325,68.8534,2299.3904,116.089,7873.3016,261.095,1079.0032,53.0271,1027.7336,56.1236
9242.7051,544.4655,11967.6745,581.541,2214.1865,108.715,778.8195,29.8273,15646.2717,329.9935,1329.4284,71.4916,2290.3432,116.8016,8033.7565,259.8556,1074.2358,52.7137,1031.934,58.9915
9165.6818,517.025,11980.2118,603.9119,2224.2675,111.3077,779.6097,31.0455,15672.3207,332.0817,1341.8962,76.1267,2278.3814,117.3857,8134.7177,262.9977,1081.7723,52.3985,1031.1753,61.6716
8902.8391,504.3284,12171.795,646.7466,2221.6025,108.9368,789.2413,31.7356,16193.5892,355.496,1356.3875,77.2932,2286.1972,119.4242,8104.2342,259.7932,1014.9634,51.4778,1009.8916,63.8757
8919.9029,538.4567,12199.7434,680.0196,2259.5755,112.7638,803.4418,32.3178,16369.8104,372.9911,1358.3726,78.0808,2286.5731,122.3284,8346.3972,273.2566,1122.3314,55.1044,995.4737,64.136
8661.2401,526.4555,12198.3274,655.24,2267.1563,115.8958,810.7322,32.1278,16510.6813,383.6111,1336.9573,76.6287,2232.2031,122.3113,8365.0772,276.5921,1133.9566,55.4772,975.2274,62.5481
8358.7961,503.4128,12538.8251,667.2413,2259.293,115.6304,806.0635,32.6333,16705.6873,403.7997,1416.7429,82.7509,2212.2695,124.2116,8668.4439,286.792,1119.4642,54.5207,938.8802,62.1115
8099.8692,495.8748,12848.6824,751.9788,2213.5505,116.0768,771.0243,31.9762,16515.8617,386.8492,1407.5924,79.7209,2103.8337,121.8891,8911.3601,294.2781,1110.8323,55.3013,910.3648,61.2817
8078.733,481.494,12939.1658,795.0149,2167.7218,116.0722,762.7663,31.3358,16968.6212,425.6549,1393.7006,79.4591,2029.3171,121.7455,9144.4767,297.8691,1115.7501,52.6176,923.5196,57.6563
7896.7558,499.3142,13388.1922,821.8418,2136.0307,111.8226,761.5789,31.4362,17155.2328,431.4543,1405.4292,81.7492,2015.5038,122.8858,9378.6739,307.0334,1113.5042,50.4939,934.6241,61.5938
29194.9529,873.3727,36338.5576,1101.1096,5320.5136,240.058,2006.0679,111.4055,24417.9018,546.0128,4952.3496,206.8734,3279.2634,216.3183,14282.5397,387.2858,2300.9115,96.917,3355.5308,154.8325
28991.7696,855.0557,36514.3698,1132.3812,5082.0208,236.902,1993.6022,112.1241,24737.34,562.4935,5047.754,204.0656,3263.8791,217.3721,14606.136,398.3082,2268.1035,97.2352,3395.2394,153.2016
29093.5574,879.6295,36344.0566,1152.0912,4818.87,237.4977,1973.7525,117.8469,24885.0581,578.6208,4890.416,185.7373,3235.9157,208.7956,14845.5066,405.9292,2200.7726,95.554,3471.5327,155.0334
29128.0869,885.3138,36579.691,1132.063,4647.3289,226.5082,1942.5993,115.8476,25020.753,592.6285,4764.4518,172.1056,3200.5114,209.9963,14953.2972,413.0243,2154.3544,94.8227,3595.2494,154.3926
29388.8245,914.5314,37166.6873,1179.151,4520.1791,238.8048,1932.2678,123.6486,25277.5099,613.1036,4593.798,175.4477,3182.2417,212.431,15303.7541,427.322,2172.4493,92.6896,3712.3012,162.7641
28921.0088,913.6628,39440.2693,1347.8435,4469.2664,232.3778,1877.2297,125.4059,25636.1536,626.6519,4717.0516,169.7049,3181.6401,217.3653,15554.6897,434.0533,2176.5709,95.6827,3853.7007,167.519
28710.9858,941.4105,39735.1057,1411.7198,4341.1879,237.0482,1803.9926,131.631,25891.0325,637.8243,4693.1266,172.6922,3178.5179,225.6651,15259.2482,406.1771,2209.7188,95.9696,4073.0939,180.1608
28555.2093,938.4241,38893.1202,1317.3564,4207.7213,228.5587,1722.4533,138.5669,26203.8878,654.6583,4613.5599,169.947,3143.9833,222.8629,15671.2862,421.9283,2234.0611,94.9101,4073.1002,167.0348
28073.4705,937.8402,38895.6893,1351.5544,4018.4828,169.5439,1628.7539,119.673,26382.7284,668.278,4369.6803,168.3937,3133.8091,181.7464,16353.8968,449.34,2218.2974,97.5245,4411.7691,154.2085
27431.0776,935.7174,39222.0206,1396.8393,3891.1193,166.0367,1581.0428,125.961,26656.6165,680.876,4132.4297,133.527,3127.9371,170.2847,16416.8837,445.8308,2227.4554,96.7656,4219.0283,145.8319
27204.5235,934.871,40002.0945,1362.8993,3794.4063,164.3318,1538.4871,96.1282,26755.5052,668.6316,3918.6247,126.7578,3210.4097,166.662,16207.4959,443.9329,2264.071,95.5047,4195.3324,144.6297
26432.7427,916.8483,40491.0002,1360.9488,3632.1165,159.7119,1486.6656,93.7278,26932.0171,679.569,3781.6666,121.9224,3203.9811,164.2998,16765.1794,477.0474,2133.151,91.4994,4214.8791,137.6746
25908.5356,917.41,40888.9382,1430.6117,3528.7934,157.6164,1451.6536,93.1712,26745.09,657.5765,3630.9248,120.41,3151.8198,159.2895,17731.8522,509.7237,2165.6292,95.0418,4305.7106,140.4814
25943.1537,946.7663,42912.26,1453.5848,3432.1956,155.8998,1420.717,93.9203,27256.616,684.1043,3450.2052,118.7395,3104.982,158.5062,18499.0442,526.086,2115.2518,94.8787,4273.3519,144.0847
25691.4771,950.7182,45710.4724,1517.749,3318.2202,155.8169,1408.843,93.3716,27694.0277,711.8472,3272.0702,118.2911,3073.4323,156.9916,19419.18,561.457,2039.7306,94.7424,4353.6839,141.607
25640.5804,949.0999,48141.7427,1559.233,3232.101,154.2751,1389.5698,89.5728,28295.8455,738.726,3039.3853,112.9505,3043.5974,151.6123,19642.8653,568.3501,2022.4501,91.2865,4315.4639,145.058
25919.3194,968.3179,50158.8824,1605.1149,3112.0456,150.593,1377.7454,87.3983,28744.2753,771.8707,2812.2771,109.9571,3009.4578,146.7976,19271.9225,539.1789,1989.8481,72.6066,4324.374,136.4149
26177.1034,977.0402,51043.2533,1635.5471,3046.9157,152.2392,1369.3541,87.6002,29423.5671,811.4083,2616.4876,109.0025,3015.1115,149.364,19527.5642,607.535,1989.7125,71.9185,4280.8499,149.0678
26686.1133,937.9583,51547.7325,1655.6622,2991.3397,147.1063,1331.7857,81.6477,29911.7966,825.8305,2449.4141,107.4112,3022.4437,144.559,19151.9903,559.0242,1966.2889,66.7181,4155.3354,144.5004
25265.1793,920.787,52309.4741,1579.539,2860.2783,145.4589,1283.9044,76.4128,30151.3702,858.8436,2300.1943,102.1765,2958.0462,138.9146,19010.0697,535.0528,1947.4576,61.2027,4018.7469,139.0638
24561.1224,945.5049,53764.9794,1596.4163,2812.9356,146.3076,1292.0713,78.9884,30455.7065,882.3617,2127.8977,104.5369,2949.1277,141.0356,20260.6266,633.5498,1940.8433,60.4942,3958.6845,143.8199
24671.0128,945.8674,56884.1114,1620.2702,2748.1786,142.3459,1253.3709,76.0901,30654.2522,905.817,2022.4847,103.7559,2863.8273,136.2837,19819.4694,596.8712,1823.1094,59.915,3932.2993,152.5719
24231.4216,927.0556,56932.0333,1647.9812,2728.8033,143.258,1223.7667,76.4797,30827.6554,914.9171,1954.9968,103.7022,2835.6353,138.7388,20026.5471,610.901,1840.6981,61.4633,4012.0895,159.8001
24161.0898,944.4753,57761.4437,1659.9683,2699.444,145.855,1218.4237,76.922,29895.3342,908.1861,1895.1524,103.6188,2832.4373,141.6251,19879.9552,598.1931,1796.1591,60.8847,4136.4207,158.4983
24362.1462,938.2087,58383.6873,1672.0093,2663.5844,148.7937,1176.6739,75.5653,30142.876,919.4325,1852.7534,106.6018,2800.7278,141.6031,20201.1564,627.5219,1733.2672,60.1041,4230.7082,156.183
23956.2375,931.9183,58489.5208,1684.1104,2627.1079,145.5677,1150.2303,74.1021,30395.6375,930.344,1848.8566,106.5074,2760.6007,144.2473,20674.7833,629.7488,1709.527,60.4794,4353.3719,159.3744
23381.2694,936.201,56902.8506,1685.9832,2582.9642,143.5518,1136.799,72.2956,30695.8872,930.3824,1868.9917,105.5435,2766.6561,138.8642,20742.5512,621.0285,1711.4443,60.5059,4302.1993,152.8096
23848.4573,924.5681,57360.3803,1675.3271,2575.8271,138.9813,1139.9754,72.4017,31015.2412,956.1374,1891.7804,106.572,2742.1476,144.1592,20843.7454,660.8209,1721.3022,59.8443,4250.3523,155.66
24796.0238,933.2327,58369.7851,1659.5725,2520.1336,134.6643,1100.6568,70.4883,31266.8801,980.2146,1880.8726,105.1041,2708.6035,138.1419,20576.6258,624.7169,1741.8497,60.3165,4416.0066,165.3165
26139.1407,911.4155,59119.8678,1557.0631,2405.6524,134.1667,1082.5058,70.3552,31297.4149,1007.8727,1855.7015,105.3746,2743.4587,135.8292,20952.022,666.32,1757.6267,59.1857,4295.7355,157.6554
22339.538,902.2117,62617.1973,1562.5985,2322.7788,128.7307,1058.9319,67.8639,31550.0634,1042.2355,1793.3857,99.7953,2598.1937,132.4125,21238.2352,707.6412,1734.3793,57.0429,4298.1614,163.1128
20607.3074,915.0569,62157.257,1584.2279,2297.0258,124.7449,1054.9746,68.8431,32269.1009,1055.8351,1742.7186,102.5307,2551.4141,128.1494,21377.897,716.1555,1624.3497,57.7205,4384.5843,162.009
